Praxiswissen Softwaretest - Testmanagement;dpunkt;Spillner, Ro�ner, Winter, Linz;2014; ; ; ;http://www.amazon.de/gp/product/3864900522/ref=as_li_tl?ie=UTF8&camp=1638&creative=19454&creativeASIN=3864900522&linkCode=as2&tag=antograbhaid-21 
Basiswissen Softwaretest;dpunkt;Spillner, Linz;2012;;;;http://www.amazon.de/gp/product/3864900247/ref=as_li_tl?ie=UTF8&camp=1638&creative=19454&creativeASIN=3864900247&linkCode=as2&tag=antograbhaid-21
Basiswissen Testautomatisierung;dpunkt;Bucsics, Baumgartner, Seidl, Gwihs;2015;;;;http://www.amazon.de/gp/product/3864901944/ref=as_li_tl?ie=UTF8&camp=1638&creative=19454&creativeASIN=3864901944&linkCode=as2&tag=antograbhaid-21
Java Performance;Addison-Wesley;Charlie Hunt, Binu John;2011;;;;a
Patterns for Enterprise Application-Architekturen;mitp;Martin Fowler;2003;;;;a
Driving technical change;;Terrence Ryan;2010;;;;a
Practical RichFaces;Apress;Max Katz;2008;;;;a
Clean Code: A Handbook of Agile Software Craftsmanship (8 Exemplare);Prentice Hall;Robert C. Martin;2008;;;;http://www.amazon.de/Clean-Code-Handbook-Software-Craftsmanship/dp/0132350882
The Clean Coder: A Code of Conduct for Professional Programmers (5 Exemplare);Prentice Hall;Robert C. Martin;2011;;;;http://www.amazon.de/Clean-Coder-Conduct-Professional-Programmers/dp/0137081073
Test Driven: Practical TDD and Acceptance TDD for Java Developers (5 Exemplare);Manning;Lasse Koskela;2007;;;;http://www.amazon.de/Test-Driven-Practical-Acceptance-Developers/dp/1932394850
Bridging the Communication Gap: Specification by Example and Agile Acceptance Testing;Neuri Limited;Gojko Adzic;2009;;;;http://www.amazon.de/Bridging-Communication-Gap-Specification-Acceptance/dp/0955683610
Specification by Example: How Successful Teams Deliver the Right Software;Manning;Gojko Adzic;2011;;;;http://www.amazon.de/Specification-Example-Successful-Deliver-Software/dp/1617290084
Refactoring Databases;Addison-Wesley;Scott W. Ambler, Promod J. Sadalage;2006;;;;http://www.amazon.de/Refactoring-Databases-Evolutionary-Addison-Wesley-Signature/dp/0321293533
Domain Driven Design (4 Exemplare);Addison-Wesley;Eric Evans;2004;;;;http://www.amazon.de/Domain-Driven-Design-Tackling-Complexity-Software/dp/0321125215
Domain Specific Languages;Addison-Wesley;Martin Fowler, Rebecca Parsons;2011;;;;http://www.amazon.de/Domain-Specific-Languages-Addison-Wesley-Signature/dp/0321712943
Testgetriebene Entwicklung mit JUnit & FIT: Wie Software �nderbar bleibt;Dpunkt Verlag;Frank Westphal;2005;;;;http://www.amazon.de/Testgetriebene-Entwicklung-mit-JUnit-FIT/dp/3898642208
Agile Testing: A Practical Guide for Testers and Agile Teams (2 Exemplare);Addison-Wesley;Lisa Crispin, Janet Gregory;2008;;;;http://www.amazon.de/Agile-Testing-Practical-Addison-Wesley-Signature/dp/0321534468
More Agile Testing: Learning Journeys for the Whole Team (2 Exemplare);Addison-Wesley;Lisa Crispin, Janet Gregory;2014;;;;http://www.amazon.de/gp/product/0321967054/ref=as_li_tl?ie=UTF8&camp=1638&creative=19454&creativeASIN=0321967054&linkCode=as2&tag=antograbhaid-21&linkId=SGFZY7MGQK3QHRM6
Agile Testing: Der agile Weg zur Qualit�t;;Manfred Baumgartner, Martin Klonk, Helmut Pichler, Richard Seidl, Siegfried Tanczos;2013;;;;http://www.amazon.de/gp/product/3446431942/ref=as_li_tl?ie=UTF8&camp=1638&creative=19454&creativeASIN=3446431942&linkCode=as2&tag=antograbhaid-21
