EXEMPLAR_ID;ISBN;TITEL;AUTHOR;PUBLISHER;PUBLICATION;SUMMARY;LANGUAGE;LINK;PICTURE;AVAILABLE
1;978-0955683619;Bridging the Communication Gap: Specification by Example and Agile Acceptance Testing;Gojko Adzic;Neuri Limited;05.01.2009;Bridging the Communication Gap is a book about improving communication between customers, business analysts, developers and testers on software projects, especially by using specification by example and agile acceptance testing. These two key emerging software development practices can significantly improve the chances of success of a software project. They ensure that all project participants speak the same language, and build a shared and consistent understanding of the domain. This leads to better specifications, flushes out incorrect assumptions and ensures that functional gaps are discovered before the development starts. With these practices in place you can build software that is genuinely fit for purpose.;Englisch;http://www.amazon.de/Bridging-Communication-Gap-Specification-Acceptance/dp/0955683610; ;T
2;978-0955683619;Bridging the Communication Gap: Specification by Example and Agile Acceptance Testing;Gojko Adzic;Neuri Limited;05.01.2009;Bridging the Communication Gap is a book about improving communication between customers, business analysts, developers and testers on software projects, especially by using specification by example and agile acceptance testing. These two key emerging software development practices can significantly improve the chances of success of a software project. They ensure that all project participants speak the same language, and build a shared and consistent understanding of the domain. This leads to better specifications, flushes out incorrect assumptions and ensures that functional gaps are discovered before the development starts. With these practices in place you can build software that is genuinely fit for purpose.;Englisch;http://www.amazon.de/Bridging-Communication-Gap-Specification-Acceptance/dp/0955683610; ;F
3;978-0955683619;Bridging the Communication Gap: Specification by Example and Agile Acceptance Testing;Gojko Adzic;Neuri Limited;05.01.2009;Bridging the Communication Gap is a book about improving communication between customers, business analysts, developers and testers on software projects, especially by using specification by example and agile acceptance testing. These two key emerging software development practices can significantly improve the chances of success of a software project. They ensure that all project participants speak the same language, and build a shared and consistent understanding of the domain. This leads to better specifications, flushes out incorrect assumptions and ensures that functional gaps are discovered before the development starts. With these practices in place you can build software that is genuinely fit for purpose.;Englisch;http://www.amazon.de/Bridging-Communication-Gap-Specification-Acceptance/dp/0955683610; ;T
4;978-0955683619;Bridging the Communication Gap: Specification by Example and Agile Acceptance Testing;Gojko Adzic;Neuri Limited;05.01.2009;Bridging the Communication Gap is a book about improving communication between customers, business analysts, developers and testers on software projects, especially by using specification by example and agile acceptance testing. These two key emerging software development practices can significantly improve the chances of success of a software project. They ensure that all project participants speak the same language, and build a shared and consistent understanding of the domain. This leads to better specifications, flushes out incorrect assumptions and ensures that functional gaps are discovered before the development starts. With these practices in place you can build software that is genuinely fit for purpose.;Englisch;http://www.amazon.de/Bridging-Communication-Gap-Specification-Acceptance/dp/0955683610; ;T
5;978-3864900525;Praxiswissen Softwaretest - Testmanagement (iSQI-Reihe): Aus- und Weiterbildung zum Certified Tester - Advanced Level nach ISTQB-Standard (ISQL-Reihe);Andreas Spillner, Thomas Roßner, Mario Winter, Tilo Linz;dpunkt.verlag GmbH;29.05.2014;estmanagement umfasst sowohl klassische Methoden des Projekt- und Risikomanagements als auch das Wissen um den zweckmäßigen Einsatz wohldefinierter Testmethoden und entsprechender Werkzeuge. In diesem Buch werden Grundlagen sowie praxiserprobte Methoden und Techniken des Testmanagements vorgestellt und anhand eines durchgängigen Beispiels erläutert. Die Autoren zeigen, wie Testmanager in großen und kleinen Projekten den täglichen Aufgaben und Herausforderungen des Testmanagements erfolgreich begegnen können.;Deutsch;http://www.amazon.de/gp/product/3864900522/ref=as_li_tl?ie=UTF8&camp=1638&creative=19; ;F
6;978-3864900525;Praxiswissen Softwaretest - Testmanagement (iSQI-Reihe): Aus- und Weiterbildung zum Certified Tester - Advanced Level nach ISTQB-Standard (ISQL-Reihe);Andreas Spillner, Thomas Roßner, Mario Winter, Tilo Linz;dpunkt.verlag GmbH;29.05.2014;estmanagement umfasst sowohl klassische Methoden des Projekt- und Risikomanagements als auch das Wissen um den zweckmäßigen Einsatz wohldefinierter Testmethoden und entsprechender Werkzeuge. In diesem Buch werden Grundlagen sowie praxiserprobte Methoden und Techniken des Testmanagements vorgestellt und anhand eines durchgängigen Beispiels erläutert. Die Autoren zeigen, wie Testmanager in großen und kleinen Projekten den täglichen Aufgaben und Herausforderungen des Testmanagements erfolgreich begegnen können.;Deutsch;http://www.amazon.de/gp/product/3864900522/ref=as_li_tl?ie=UTF8&camp=1638&creative=19; ;T
7;978-3864900525;Praxiswissen Softwaretest - Testmanagement (iSQI-Reihe): Aus- und Weiterbildung zum Certified Tester - Advanced Level nach ISTQB-Standard (ISQL-Reihe);Andreas Spillner, Thomas Roßner, Mario Winter, Tilo Linz;dpunkt.verlag GmbH;29.05.2014;estmanagement umfasst sowohl klassische Methoden des Projekt- und Risikomanagements als auch das Wissen um den zweckmäßigen Einsatz wohldefinierter Testmethoden und entsprechender Werkzeuge. In diesem Buch werden Grundlagen sowie praxiserprobte Methoden und Techniken des Testmanagements vorgestellt und anhand eines durchgängigen Beispiels erläutert. Die Autoren zeigen, wie Testmanager in großen und kleinen Projekten den täglichen Aufgaben und Herausforderungen des Testmanagements erfolgreich begegnen können.;Deutsch;http://www.amazon.de/gp/product/3864900522/ref=as_li_tl?ie=UTF8&camp=1638&creative=19; ;F
8;978-1118957400;OCA: Oracle Certified Associate Java SE 8 Programmer I Study Guide: Exam 1Z0-808;Jeanne Boyarsky, Scott Selikoff;John Wiley & Sons;06.02.2015;Full coverage of functional programming and all OCA Java Programmer exam objectives. OCA, Oracle Certified Associate Java SE 8 Programmer I Study Guide, Exam 1Z1-808 is a comprehensive study guide for those taking the Oracle Certified Associate Java SE 8 Programmer I exam (1Z1-808). With complete coverage of 100% of the exam objectives, this book provides everything you need to know to confidently take the exam. The release of Java 8 brought the language's biggest changes to date, and for the first time, candidates are required to learn functional programming to pass the exam. This study guide has you covered, with thorough functional programming explanation and information on all key topic areas Java programmers need to know. You'll cover Java inside and out, and learn how to apply it efficiently and effectively to create solutions applicable to real-world scenarios. * Work confidently with operators, conditionals, and loops * Understand object-oriented design principles and patterns * Master functional programming fundamentals;Englisch;http://www.amazon.de/OCA-Certified-Associate-Programmer-1Z0-808/dp/1118957407; ;T
9;978-1118957400;OCA: Oracle Certified Associate Java SE 8 Programmer I Study Guide: Exam 1Z0-808;Jeanne Boyarsky, Scott Selikoff;John Wiley & Sons;06.02.2015;Full coverage of functional programming and all OCA Java Programmer exam objectives. OCA, Oracle Certified Associate Java SE 8 Programmer I Study Guide, Exam 1Z1-808 is a comprehensive study guide for those taking the Oracle Certified Associate Java SE 8 Programmer I exam (1Z1-808). With complete coverage of 100% of the exam objectives, this book provides everything you need to know to confidently take the exam. The release of Java 8 brought the language's biggest changes to date, and for the first time, candidates are required to learn functional programming to pass the exam. This study guide has you covered, with thorough functional programming explanation and information on all key topic areas Java programmers need to know. You'll cover Java inside and out, and learn how to apply it efficiently and effectively to create solutions applicable to real-world scenarios. * Work confidently with operators, conditionals, and loops * Understand object-oriented design principles and patterns * Master functional programming fundamentals;Englisch;http://www.amazon.de/OCA-Certified-Associate-Programmer-1Z0-808/dp/1118957407; ;F
10;978-1118957400;OCA: Oracle Certified Associate Java SE 8 Programmer I Study Guide: Exam 1Z0-808;Jeanne Boyarsky, Scott Selikoff;John Wiley & Sons;06.02.2015;Full coverage of functional programming and all OCA Java Programmer exam objectives. OCA, Oracle Certified Associate Java SE 8 Programmer I Study Guide, Exam 1Z1-808 is a comprehensive study guide for those taking the Oracle Certified Associate Java SE 8 Programmer I exam (1Z1-808). With complete coverage of 100% of the exam objectives, this book provides everything you need to know to confidently take the exam. The release of Java 8 brought the language's biggest changes to date, and for the first time, candidates are required to learn functional programming to pass the exam. This study guide has you covered, with thorough functional programming explanation and information on all key topic areas Java programmers need to know. You'll cover Java inside and out, and learn how to apply it efficiently and effectively to create solutions applicable to real-world scenarios. * Work confidently with operators, conditionals, and loops * Understand object-oriented design principles and patterns * Master functional programming fundamentals;Englisch;http://www.amazon.de/OCA-Certified-Associate-Programmer-1Z0-808/dp/1118957407; ;T
